Страна;Сумма займа ;Коэффициент соблюдения условий МВФ (conditionality) - X2;Платежный баланс 1995/2002/2009;Дефицит государственного бюджета 1995/2002/2009; Внешний долг 1995/2002/2009;Государственный долг 1995/2002/2009;Темпы инфляции 1995/2002/2009;Чистый приток ПИИ 1995/2002/2009;Уровень безработицы;Темп прироста реального ВВП за 5 лет (в ценах 2010 года);ВВП 1995/2002/2009 в ценах 2010 года;ВВП 2000/2007/2014 в ценах 10 года
Argentina;1,063224;0,4;-5104;-4755;101462;175802;3,38;5609,423404;18,79999924;13,56433761;268814;305277
Bolivia;0,149087632;0,56;-303;-87;4791;14509;10,19320676;392,7;2,753000021;18,4287542;11383;13481
Costa Rica;0,0767884;0,43;-358;-405;4209;14909;23,18649811;336,9;5,179999828;23,99608265;19720;24452
Ecuador;0,25679813;0,2;-1000;-122;13934;38416;22,88613303;452,48;4,592000008;5,546957464;44018;46459
Guyana;0,079387392;0,51;-135;-21;2058;25948;12,21052632;74,42;11,87899971;15,18391788;2368;2728
Haiti;0,029534;0,6;-13;-111;901;25948;27,60818517;7,4;7,256999969;13,23209889;9158;10369
Mexico;17,82406434;0,51;-1577;-2160;165600;353035;34,99927129;9526,29;7,099999905;29,37164036;707431;915215
Nicaragua;0,177381204;0,6;-722;0;10248;25180;10,94;88,9;7,002999783;27,76824569;5152;6583
Panama;0,12448581;0,51;-471;-146;5890;19688;0,994206983;281,3;3,79399991;25,40617139;13275;16648
Peru;0,44330534;0,49;-4625;-1868;33362;51304;11,12870297;2556,9815;4,480000019;13,63994354;75500;85798
El Salvador;0,055642056;0,5;-262;-54;2168;3541;10,02965645;38,0372186;7,650000095;10,27200939;14295;15763
Uruguay;0,14767;0,51;-213;-232;4636;10062;42,2483198;156,6;10,02000046;11,47731878;29121;32464
Argentina;31,29588061;0,4;8702;-553;156813;310936;25,87;2148,91;19,59000015;52,13403927;260026;395587
Bolivia;0,181064591;0,56;-352;-704;6970;18577;0,928258852;676,543;2,493999958;22,43261173;14049;17200
Brazil;43,45253465;0,56;-8142;-6118;230068;976945;8,450164377;16586,60019;9,369999886;21,73153352;1607705;1957084
Colombia;1,92267792;0,65;-1289;-4964;37382;89034;6,351925074;2133,698124;14,47999954;30,55191965;201090;262527
Dominica;0,004073891;0,52;-47;-22;200;25948;0,17005533;20,11063704;6,891;22,79152331;377;463
Dominican Republic;0,543765112;0,43;-798;0;4536;8434;5,223367698;926;6,78000021;32,554268;35998;47717
Ecuador;0,18754804;0,2;-1219;-171;16236;40187;12,48401857;783,2610096;4,897999763;24,86911428;50305;62815
Guatemala;0,10433136;0,3;-1235;-225;5841;12070;8,132630543;-1016,996774;2,750999928;22,34099299;31135;38091
Guyana;0,067753282;0,51;-106;-51;1352;25948;5,341015214;43,6;11,81000042;11,50912948;2804;3127
Honduras;0,088433248;0,35;-282;-306;5025;8604;7,69050972;287,3149;4,019999981;33,28497783;11265;15015
Nicaragua;0,1210989;0,6;-784;-99;6363;18254;3,750174658;203,9;7,578000069;22,80723923;6829;8386
Panama;0,07949056;0,51;-96;-238;6349;25513;1,005830904;247,1;3,785000086;46,13129783;17116;25012
Paraguay;0,062102;0,49;-1094;-158;27155;7726;10,51024209;90,4;9,390000343;35,59355821;91036;123439
Peru;0,47570132;0,6;622;-1260;2783;51036;0,193135004;2155,836815;4,840000153;22,4989531;18768;22990
Uruguay;2,629647088;0,51;382;-606;12876;29152;13,97247259;179,8521878;16,64999962;26,15394015;28802;36335
Antigua and Barbuda;0,100128825;0,54;-169;-133;405;25948;-0,550159996;80,64665259;11,28999996;-3,635360145;1246;1201
Colombia;10,33329474;0,65;72;-9528;53779;201501;4,201044769;8034,746177;7,710000038;27,58220484;274237;349878
Costa Rica;0,730272897;0,43;-4433;-1107;8150;31331;7,842701677;1614,614468;5,46999979;22,43707084;35743;43762
Dominican Republic;1,623570355;0,43;-561;-1448;8215;26254;1,442151318;1695,3;5,46999979;28,8522845;49714;64058
Guatemala;0,935425734;0,3;-2332;-1188;12622;25642;1,859102547;499,82125;3,512000084;19,49734346;39547;47258
Honduras;0,057629702;0,35;-557;-875;3365;7231;5,496342738;494,4974505;3,289999962;18,81347803;15270;18142
Mexico;46,76831992;0,51;-7656;-18901;160427;909988;5,297355842;19656,53568;5,360000134;17,72891639;1006297;1184703
Nicaragua;0,11570442;0,6;-702;-141;6533;10346;3,687001605;433,9;8,159999847;29,97698534;8389;10903
Peru;0,255688968;0,49;-635;-1813;35157;64764;2,936231536;6430,652961;3,980000019;32,49710088;136180;180435
El Salvador;0,762314121;0,5;-312;-774;11307;29302;1,055950297;368,73;7,329999924;13,32728921;18067;20475
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;